split,family_id,model,n,positives,k,precision_at_k,recall_at_k,lift_at_k,average_precision,hard_negative_false_positive_rate,ordinary_false_positive_rate
validation,all,rule,6208,108,50,0.06,0.027777777777777776,3.4488888888888884,0.08567716318874437,0.013888888888888888,0.007631055076310551
validation,all,logistic,6208,108,50,0.04,0.018518518518518517,2.299259259259259,0.08045041445772165,0.013888888888888888,0.0077969475779694755
validation,all,xgboost,6208,108,50,0.62,0.28703703703703703,35.63851851851852,0.3860453591130733,0.0,0.0031519575315195753
validation,all,isolation,6208,108,50,0.08,0.037037037037037035,4.598518518518518,0.05668075043796014,0.0,0.007631055076310551
validation,all,hybrid,6208,108,50,0.46,0.21296296296296297,26.441481481481482,0.3085832142631034,0.013888888888888888,0.0043132050431320505
validation,crude_palm_oil,rule,1795,36,50,0.08,0.1111111111111111,3.988888888888889,0.08473879328480105,0.041666666666666664,0.025936599423631124
validation,crude_palm_oil,logistic,1795,36,50,0.04,0.05555555555555555,1.9944444444444445,0.07736531054308975,0.041666666666666664,0.027089337175792507
validation,crude_palm_oil,xgboost,1795,36,50,0.32,0.4444444444444444,15.955555555555556,0.3544694177046469,0.08333333333333333,0.018443804034582133
validation,crude_palm_oil,isolation,1795,36,50,0.04,0.05555555555555555,1.9944444444444445,0.05234383972109936,0.041666666666666664,0.027089337175792507
validation,crude_palm_oil,hybrid,1795,36,50,0.34,0.4722222222222222,16.95277777777778,0.2984947984874619,0.08333333333333333,0.017867435158501442
validation,gold_unwrought,rule,2715,36,50,0.04,0.05555555555555555,3.0166666666666666,0.09190989528069772,0.0,0.01807909604519774
validation,gold_unwrought,logistic,2715,36,50,0.06,0.08333333333333333,4.5249999999999995,0.08667993059522595,0.041666666666666664,0.017325800376647833
validation,gold_unwrought,xgboost,2715,36,50,0.42,0.5833333333333334,31.674999999999997,0.43542951527700496,0.0,0.010922787193973634
validation,gold_unwrought,isolation,2715,36,50,0.04,0.05555555555555555,3.0166666666666666,0.061472510881859316,0.041666666666666664,0.01770244821092279
validation,gold_unwrought,hybrid,2715,36,50,0.42,0.5833333333333334,31.674999999999997,0.3304422949596025,0.0,0.010922787193973634
validation,refined_copper_cathodes,rule,1698,36,50,0.1,0.1388888888888889,4.716666666666667,0.09125154056957302,0.0,0.027472527472527472
validation,refined_copper_cathodes,logistic,1698,36,50,0.06,0.08333333333333333,2.8299999999999996,0.105728700437753,0.041666666666666664,0.028083028083028084
validation,refined_copper_cathodes,xgboost,1698,36,50,0.36,0.5,16.979999999999997,0.45291305790086345,0.0,0.019536019536019536
validation,refined_copper_cathodes,isolation,1698,36,50,0.04,0.05555555555555555,1.8866666666666665,0.07113022740384159,0.0,0.029304029304029304
validation,refined_copper_cathodes,hybrid,1698,36,50,0.38,0.5277777777777778,17.923333333333332,0.38094875246349374,0.041666666666666664,0.018315018315018316
test,all,rule,6033,108,50,0.14,0.06481481481481481,7.820555555555556,0.09961666727929704,0.0,0.007346659832564497
test,all,logistic,6033,108,50,0.06,0.027777777777777776,3.3516666666666666,0.0770068940397172,0.0,0.008030070049547242
test,all,xgboost,6033,108,50,0.5,0.23148148148148148,27.930555555555554,0.30614331301922154,0.0,0.004271313856142149
test,all,isolation,6033,108,50,0.06,0.027777777777777776,3.3516666666666666,0.04994032200818513,0.0,0.008030070049547242
test,all,hybrid,6033,108,50,0.48,0.2222222222222222,26.813333333333333,0.29784867301621154,0.0,0.004442166410387836
test,crude_palm_oil,rule,1727,36,50,0.16,0.2222222222222222,7.6755555555555555,0.1005879374885492,0.0,0.02519496100779844
test,crude_palm_oil,logistic,1727,36,50,0.04,0.05555555555555555,1.9188888888888889,0.06115258230820104,0.0,0.028794241151769647
test,crude_palm_oil,xgboost,1727,36,50,0.14,0.19444444444444445,6.716111111111111,0.16201752438414552,0.0,0.02579484103179364
test,crude_palm_oil,isolation,1727,36,50,0.0,0.0,0.0,0.04502301101691629,0.0,0.029994001199760048
test,crude_palm_oil,hybrid,1727,36,50,0.16,0.2222222222222222,7.6755555555555555,0.18298022279235868,0.0,0.02519496100779844
test,gold_unwrought,rule,2608,36,50,0.08,0.1111111111111111,5.795555555555556,0.10705862316731152,0.0,0.01805337519623234
test,gold_unwrought,logistic,2608,36,50,0.1,0.1388888888888889,7.2444444444444445,0.08841218990988577,0.0,0.017660910518053376
test,gold_unwrought,xgboost,2608,36,50,0.5,0.6944444444444444,36.22222222222222,0.5504705934636986,0.0,0.009811616954474097
test,gold_unwrought,isolation,2608,36,50,0.04,0.05555555555555555,2.897777777777778,0.051816759721560274,0.0,0.018838304552590265
test,gold_unwrought,hybrid,2608,36,50,0.48,0.6666666666666666,34.77333333333333,0.5901403878828236,0.0,0.01020408163265306
test,refined_copper_cathodes,rule,1698,36,50,0.08,0.1111111111111111,3.773333333333333,0.10556955787826773,0.0,0.028083028083028084
test,refined_copper_cathodes,logistic,1698,36,50,0.12,0.16666666666666666,5.659999999999999,0.11341980122310155,0.0,0.026862026862026864
test,refined_copper_cathodes,xgboost,1698,36,50,0.26,0.3611111111111111,12.263333333333334,0.24855353213597703,0.0,0.022588522588522588
test,refined_copper_cathodes,isolation,1698,36,50,0.06,0.08333333333333333,2.8299999999999996,0.06729450106129475,0.0,0.028693528693528692
test,refined_copper_cathodes,hybrid,1698,36,50,0.34,0.4722222222222222,16.036666666666665,0.23469842823261022,0.0,0.020146520146520148
