rank,obs_id,year,exporter_iso3,importer_iso3,hs6,family_id,product_name,trade_value_usd,quantity_metric_ton,unit_value_usd_per_metric_ton,benchmark_price_usd_per_metric_ton,selected_review_priority_score,rule_score,selected_challenger_score,quality_status,data_quality_score,valid_extreme_flag,key_evidence_count,source_row_id,source_version
1,obs_c1178b54e91326a9b0f5,2022,ESP,NLD,710812,gold_unwrought,Non-monetary unwrought gold,11787415.0,0.032,368356718.75,57890634.271471545,0.989129364490509,1.0,0.9855058,usable_with_caveat,6,True,0,baci_0805b6c6be2600ba0835c697,CEPII_BACI_HS17_V202601_filtered_official_derived
2,obs_31f1dbac37c15eb7186d,2022,KWT,NPL,710812,gold_unwrought,Non-monetary unwrought gold,2912170.0,0.009,323574444.4444445,57890634.271471545,0.9857555627822876,1.0,0.9810074,usable_with_caveat,5,True,0,baci_838ed1fdb9201c92b4cfc449,CEPII_BACI_HS17_V202601_filtered_official_derived
3,obs_8c4051f3c18beab9e68a,2022,QAT,NPL,710812,gold_unwrought,Non-monetary unwrought gold,90853064.0,0.28,324475228.57142854,57890634.271471545,0.9854697585105896,1.0,0.98062634,usable_with_caveat,5,True,0,baci_1017d347d72c846eb319bfd4,CEPII_BACI_HS17_V202601_filtered_official_derived
4,obs_c4e5ade4d38d2d3dd148,2022,HKG,NPL,710812,gold_unwrought,Non-monetary unwrought gold,3899093.0,0.013,299930230.7692308,57890634.271471545,0.9854697585105896,1.0,0.98062634,usable_with_caveat,5,True,0,baci_f3aba783eceb5a7ffc780ae9,CEPII_BACI_HS17_V202601_filtered_official_derived
5,obs_f7e56d6a0431cdbb8c32,2022,SAU,NPL,710812,gold_unwrought,Non-monetary unwrought gold,23978692.0,0.066,363313515.1515151,57890634.271471545,0.9846754670143127,1.0,0.9795673,usable_with_caveat,5,True,0,baci_552ceaa2193720695e17afbf,CEPII_BACI_HS17_V202601_filtered_official_derived
6,obs_c88105f77b1bef6f7d3d,2022,ITA,MKD,151110,crude_palm_oil,Crude palm oil,39.0,0.006,6500.0,1275.99,0.9801958799362183,1.0,0.9735945,usable_with_caveat,4,True,0,baci_782cb6f313e5d6766840b78d,CEPII_BACI_HS17_V202601_filtered_official_derived
7,obs_1a481444e8f53a79dfee,2024,GBR,ITA,740311,refined_copper_cathodes,Refined copper cathodes,2086.0,0.044,47409.09090909091,9142.14,0.9801734089851379,1.0,0.97356457,usable_with_caveat,6,True,0,baci_89d192f8af0cd10592e6dd4f,CEPII_BACI_HS17_V202601_filtered_official_derived
8,obs_7c72b96c0b2d861bdbbc,2022,CAF,CHE,710812,gold_unwrought,Non-monetary unwrought gold,3179015.0,0.018,176611944.44444445,57890634.271471545,0.9788246592112142,0.9636773428232503,0.9838738,fully_usable,5,False,0,baci_7a6bedf7c3d00b4fd74e2025,CEPII_BACI_HS17_V202601_filtered_official_derived
9,obs_e4204c85264cb9a8ffe2,2018,USA,IRL,740311,refined_copper_cathodes,Refined copper cathodes,264595.0,6.879,38464.16630324175,6529.8,0.9787466010371706,0.9980023228803716,0.972328,usable_with_caveat,4,True,0,baci_07e7a582d92302b0379c27c6,CEPII_BACI_HS17_V202601_filtered_official_derived
10,obs_e5c8e323b3ebae313e00,2020,ITA,TUR,740311,refined_copper_cathodes,Refined copper cathodes,24289083.0,628.199,38664.63174885666,6173.77,0.975341260433197,1.0,0.96712166,usable_with_caveat,5,True,0,baci_031b6e0aa009cb0296d71d3d,CEPII_BACI_HS17_V202601_filtered_official_derived
