obs_id,source_row_id,year,exporter_code,importer_code,hs6,family_id,quality_status,exclusion_reason,value_valid_flag,quantity_valid_flag,benchmark_join_status,source_filename,source_version
obs_76c849d99e205ebd161e,baci_b9ebeae12d6927ae6679adef,2017,32,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_c6602bdc82ce4c8373c3,baci_bf6aec674a31dbd4d85a7315,2017,56,458,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_b6dcf43e2e44288350b5,baci_c71a72a849a19b206a56f510,2017,344,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_1f2968e21aedf0bfe894,baci_ef7c384b6f5d9303ef8a608d,2017,360,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_5e922f7cbe572292b615,baci_f44cc8c8fdc432882f3d55d1,2017,410,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_034262f341a102118e69,baci_7266562fcb710b522eb2a68c,2017,480,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_6a1f97f111ca0980a014,baci_1597518b664e111275ba0b68,2017,508,360,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_ee2486cb5bf40ae3fb1f,baci_dd6e65eb2cb7fcea0f98ec61,2017,508,480,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_4fd86446793b9b626168,baci_d7b854cd5ea61cf9e7bfe385,2017,616,100,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_e748f5b87da1f25af953,baci_e12fb6a4b37336f1a6b64f87,2017,699,208,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_ff8bb2ecae13563fcaff,baci_e6fb6fd95e2b58d23b2d3f91,2017,704,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_ba38cc7da19631a85773,baci_041a3d094709f09fbf7f114c,2017,710,508,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_97eb46eac533ec741b43,baci_8668791523b4a48b4987b6b7,2017,826,499,151110,crude_palm_oil,excluded_from_modeling_retained_for_audit,missing_or_non_positive_quantity,True,False,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
