obs_id,source_row_id,year,exporter_code,exporter_iso3,exporter_name,importer_code,importer_iso3,importer_name,corridor_id,hs6,family_id,product_name,hs6_product_code_description,project_role,v,q,trade_value_usd,quantity_metric_ton,quantity_unit_raw,unit_value_usd_per_metric_ton,log_unit_value,benchmark_series_id,benchmark_price_original,benchmark_unit_original,benchmark_price_usd_per_metric_ton,benchmark_year,benchmark_yoy_change,benchmark_join_status,benchmark_conversion_method,benchmark_residual,benchmark_caveat,source_sheet,history_years_available,value_valid_flag,quantity_valid_flag,unit_value_valid_flag,valid_extreme_flag,quantity_score,benchmark_score,history_score,completeness_score,data_quality_score,quality_status,exclusion_reason,model_eligible,source_filename,source_version,source_file_hash,hs_revision
obs_3c5fccb67196e388d916,baci_d7d23b846a95babdc0975226,2017,533,ABW,Aruba,842,USA,USA,ABW->USA,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,553.375,0.013,553375.0,0.013,metric_ton,42567307.692307696,17.566597091555042,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),0.051477526186342715,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_4e3c0017ed28a876fe9f,baci_3646b297c5d61e2f155cfb9b,2017,8,ALB,Albania,757,CHE,Switzerland,ALB->CHE,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,405.058,0.011,405058.0,0.011,metric_ton,36823454.54545455,17.42164555189543,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),-0.09347401347326922,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_bd888ee687ae10374215,baci_6a5b1cbee5507d5acdb73c5d,2017,8,ALB,Albania,380,ITA,Italy,ALB->ITA,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,212.456,0.006,212456.0,0.006,metric_ton,35409333.333333336,17.382485996837524,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),-0.13263356853117614,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_1062b2c24aea6ab4d837,baci_5246a8dfc08ef461a3ce43c3,2017,8,ALB,Albania,792,TUR,TÃ¼rkiye,ALB->TUR,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,968.556,0.032,968556.0,0.032,metric_ton,30267375.0,17.225580957713266,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),-0.2895386076554338,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_278dc686e0fd5d2de064,baci_6b1cb82ae59880be171c6e3c,2017,784,ARE,United Arab Emirates,51,ARM,Armenia,ARE->ARM,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,10775.781,0.268,10775781.0,0.268,metric_ton,40208138.05970149,17.509579972397237,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),-0.005539592971462781,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_ec0f4396523f2e7ef497,baci_e2ecad528e0f8d6d88a60c06,2017,784,ARE,United Arab Emirates,48,BHR,Bahrain,ARE->BHR,151110,crude_palm_oil,Crude palm oil,"Vegetable oils: palm oil and its fractions, crude, not chemically modified",asia_bulk_commodity_anchor,80.662,67.812,80662.0,67.812,metric_ton,1189.4944847519614,7.0812836931218905,world_bank_palm_oil,750.81,USD per metric ton,750.81,2017,,matched,identity,0.46013106937197,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.,Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_b40175d8b9b813d20804,baci_00065c29b2054a5c55f23024,2017,784,ARE,United Arab Emirates,48,BHR,Bahrain,ARE->BHR,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,214963.892,5.303,214963892.0,5.303,metric_ton,40536279.84159909,17.517707929646694,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),0.0025883642779938043,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_490fd11355d0c5027192,baci_cfcd608d5ab8454113726c3e,2017,784,ARE,United Arab Emirates,124,CAN,Canada,ARE->CAN,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,1296.43,0.055,1296430.0,0.055,metric_ton,23571454.545454547,16.97554698473731,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),-0.5395725806313898,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_98ef851c35fa36d19110,baci_61754945950c577113c3ee55,2017,784,ARE,United Arab Emirates,757,CHE,Switzerland,ARE->CHE,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,6637533.417,162.119,6637533417.0,162.119,metric_ton,40942353.56127289,17.5276756246074,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),0.012556059238701067,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_d781d0f04cf340178c12,baci_85ca3138f477ad68ee4be3a6,2017,784,ARE,United Arab Emirates,156,CHN,China,ARE->CHN,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,101270.508,2.186,101270508.0,2.186,metric_ton,46326856.35864593,17.651232401834616,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),0.13611283646591588,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
obs_117286cf1e8513c4c87f,baci_89751f6794c94f73e3153301,2017,784,ARE,United Arab Emirates,276,DEU,Germany,ARE->DEU,710812,gold_unwrought,Non-monetary unwrought gold,"Metals: gold, non-monetary, unwrought (but not powder)",typology_anchor,68222.945,1.729,68222945.0,1.729,metric_ton,39458036.43724696,17.490748296480465,world_bank_gold,1257.56,USD per troy ounce,40431492.8548438,2017,,matched,gold_usd_per_troy_ounce * (1000000 / 31.1034768),-0.02437126888823471,"Spot gold benchmark; purity, form, and commercial terms are not observed in BACI.",Annual Prices (Nominal),0,True,True,True,False,1,2,0,1,4,usable_with_caveat,short_history,True,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived,0e493e057c8fd57902328551a9c874d22aea0e4c3437432617489c7c3571fe12,HS17
