evidence_id,obs_id,source_table,source_row_id,evidence_type,metric_name,observed_value,comparison_value,comparison_group,threshold,direction,severity,source_fields,source_version,plain_english_summary,caveat
ev_64fe9330ad36973b98,obs_c1178b54e91326a9b0f5,data/processed/corridor_features.parquet,baci_0805b6c6be2600ba0835c697,history_deviation,robust_historical_z,18.82674175046617,17.59547564912521,"same exporter-importer-HS6 corridor, prior years only",4.0,absolute,high,log_unit_value;shifted_corridor_history_median;shifted_corridor_history_mad,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 ESP to NLD 710812 (Non-monetary unwrought gold) differs from its prior corridor history with robust historical z of 18.827. Severity: high.,Short or low-dispersion history can make this metric less stable.
ev_89c989e7cf036ef947,obs_c1178b54e91326a9b0f5,data/processed/corridor_features.parquet,baci_0805b6c6be2600ba0835c697,benchmark_adjusted_drift,benchmark_adjusted_drift,1.8582655248813786,1.8504961985618777,previous observed same-corridor benchmark residual,0.7,absolute,high,benchmark_residual;benchmark_adjusted_drift,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 ESP to NLD 710812 (Non-monetary unwrought gold) moved by 1.858 in benchmark-adjusted residual versus the previous observed corridor year. Severity: high.,"Annual residual movement can reflect contract timing, quality, freight, insurance, or reporting differences."
ev_03b1acd36c34032643,obs_c1178b54e91326a9b0f5,data/processed/corridor_features.parquet,baci_0805b6c6be2600ba0835c697,benchmark_gap,benchmark_residual,1.8504961985618777,57890634.271471545,same-family World Bank annual commodity benchmark,0.7,absolute,high,unit_value_usd_per_metric_ton;benchmark_price_usd_per_metric_ton;benchmark_residual,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 ESP to NLD 710812 (Non-monetary unwrought gold) has a log benchmark residual of 1.850 against the World Bank annual benchmark. Severity: high.,"The benchmark is broad market context, not invoice-level fair value."
ev_d25e9b9a9f2e0660b3,obs_c1178b54e91326a9b0f5,data/processed/corridor_features.parquet,baci_0805b6c6be2600ba0835c697,annual_unit_value_change,unit_value_yoy_change,1.8588043793564903,,previous observed same-corridor-HS6 year,0.8,absolute,high,unit_value_usd_per_metric_ton;unit_value_yoy_change,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 ESP to NLD 710812 (Non-monetary unwrought gold) has a year-over-year log unit-value change of 1.859. Severity: high.,Aggregate annual unit values are not invoice prices.
ev_9112748c22f2de5977,obs_31f1dbac37c15eb7186d,data/processed/corridor_features.parquet,baci_838ed1fdb9201c92b4cfc449,history_deviation,robust_historical_z,12.257217933162535,17.596574098619403,"same exporter-importer-HS6 corridor, prior years only",4.0,absolute,high,log_unit_value;shifted_corridor_history_median;shifted_corridor_history_mad,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 KWT to NPL 710812 (Non-monetary unwrought gold) differs from its prior corridor history with robust historical z of 12.257. Severity: high.,Short or low-dispersion history can make this metric less stable.
ev_451e6e42094546bc46,obs_31f1dbac37c15eb7186d,data/processed/corridor_features.parquet,baci_838ed1fdb9201c92b4cfc449,benchmark_adjusted_drift,benchmark_adjusted_drift,1.9978268142670004,1.7208735948717653,previous observed same-corridor benchmark residual,0.7,absolute,high,benchmark_residual;benchmark_adjusted_drift,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 KWT to NPL 710812 (Non-monetary unwrought gold) moved by 1.998 in benchmark-adjusted residual versus the previous observed corridor year. Severity: high.,"Annual residual movement can reflect contract timing, quality, freight, insurance, or reporting differences."
ev_a07f9ac3f3b75c1484,obs_31f1dbac37c15eb7186d,data/processed/corridor_features.parquet,baci_838ed1fdb9201c92b4cfc449,annual_unit_value_change,unit_value_yoy_change,1.9983656687421114,,previous observed same-corridor-HS6 year,0.8,absolute,high,unit_value_usd_per_metric_ton;unit_value_yoy_change,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 KWT to NPL 710812 (Non-monetary unwrought gold) has a year-over-year log unit-value change of 1.998. Severity: high.,Aggregate annual unit values are not invoice prices.
ev_cb5cbcfcdc460218ad,obs_31f1dbac37c15eb7186d,data/processed/corridor_features.parquet,baci_838ed1fdb9201c92b4cfc449,value_quantity_divergence,value_quantity_divergence,1.9983656687421116,1.0986122886681096,same corridor-HS6 value growth versus quantity growth,0.8,absolute,high,trade_value_yoy_change;quantity_yoy_change;value_quantity_divergence,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 KWT to NPL 710812 (Non-monetary unwrought gold) shows value-quantity divergence of 1.998. Severity: high.,Value and quantity can diverge for benign commercial reasons.
ev_7860c8fa03d5b08d13,obs_8c4051f3c18beab9e68a,data/processed/corridor_features.parquet,baci_1017d347d72c846eb319bfd4,history_deviation,robust_historical_z,19.211099660919796,17.721585911122517,"same exporter-importer-HS6 corridor, prior years only",4.0,absolute,high,log_unit_value;shifted_corridor_history_median;shifted_corridor_history_mad,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 QAT to NPL 710812 (Non-monetary unwrought gold) differs from its prior corridor history with robust historical z of 19.211. Severity: high.,Short or low-dispersion history can make this metric less stable.
ev_d6a6bd050796d6d0c2,obs_8c4051f3c18beab9e68a,data/processed/corridor_features.parquet,baci_1017d347d72c846eb319bfd4,benchmark_adjusted_drift,benchmark_adjusted_drift,1.7775186825805704,1.7236535814827327,previous observed same-corridor benchmark residual,0.7,absolute,high,benchmark_residual;benchmark_adjusted_drift,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 QAT to NPL 710812 (Non-monetary unwrought gold) moved by 1.778 in benchmark-adjusted residual versus the previous observed corridor year. Severity: high.,"Annual residual movement can reflect contract timing, quality, freight, insurance, or reporting differences."
ev_80601810fc818cf4e6,obs_8c4051f3c18beab9e68a,data/processed/corridor_features.parquet,baci_1017d347d72c846eb319bfd4,benchmark_gap,benchmark_residual,1.7236535814827327,57890634.271471545,same-family World Bank annual commodity benchmark,0.7,absolute,high,unit_value_usd_per_metric_ton;benchmark_price_usd_per_metric_ton;benchmark_residual,CEPII_BACI_HS17_V202601_filtered_official_derived,2022 QAT to NPL 710812 (Non-monetary unwrought gold) has a log benchmark residual of 1.724 against the World Bank annual benchmark. Severity: high.,"The benchmark is broad market context, not invoice-level fair value."
